"","...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65","...66","...67","...68","...69"
"17","2006 Q2",0,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,35476387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2006 Q3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2006 Q4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2007 Q1",30100000,30200569,30200569,30200569,30200569,30200569,30200569,30200569,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,30250529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2007 Q2",30100000,79053330,60207130,60207130,60247980,60247980,60277530,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,60407000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2007 Q3",50172970,50172970,50172970,50172970,50248595,50279305,50323275,50323275,50323275,40422125,40451035,38683076,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,31513387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2007 Q4",100241720,50141720,50141720,50141720,50138249,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,50293745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2008 Q1",34404149,34460284,34493274,65311337,65456790,30141735,30141735,60207745,30164425,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,30176245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2008 Q2",83720000,83720000,80172325,80216545,80216545,67327976,30319061,30478121,30478121,70302498,70302498,30524001,30605144,30605144,30605144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2008 Q3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
